@RELATION genre_model
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE class {blues,classical,country,disco,hiphop,jazz,metal,pop,reggae,rock}

@DATA
0.063067,0.036405,3.111751,0.142180,0.168792,0.515685,0.008877,0.095409,-24.585938,2.038326,-0.810542,-0.095415,-0.038961,0.045020,-0.140051,0.024065,-0.177585,-0.060548,-0.147205,0.016831,0.097727,0.008854,0.015619,0.030265,0.018563,0.013313,0.006456,0.034040,0.002640,0.017233,0.010048,0.042604,0.003401,0.026541,0.014938,0.022484,0.290041,0.029226,0.027007,0.260216,0.006489,0.033846,1.701992,0.610187,0.555945,0.295355,0.251525,0.258617,0.245137,0.241164,0.234768,0.228857,0.227352,0.247571,0.215106,0.008916,0.013851,0.029954,0.016647,0.011070,0.007101,0.024018,0.003911,0.013042,0.009429,0.032764,0.004585,0.011189,171.428571,0.124095,blues
0.044044,0.018115,3.122992,0.136796,0.185648,0.297764,0.012736,0.061543,-27.346225,2.758455,0.277804,0.424545,0.125529,0.177670,-0.171670,-0.002973,0.089371,0.044958,-0.088256,-0.028097,-0.040367,0.022691,0.002377,0.033765,0.013757,0.013564,0.004092,0.055875,0.001609,0.008953,0.026721,0.097464,0.005534,0.050594,0.037532,0.020923,0.193807,0.053142,0.033331,0.356198,0.012182,0.073543,1.785448,0.623458,0.491502,0.294929,0.378799,0.301524,0.307664,0.239432,0.215221,0.202685,0.217930,0.210336,0.217143,0.028123,0.003906,0.035902,0.017903,0.017355,0.006099,0.053103,0.002936,0.009823,0.027945,0.096949,0.009052,0.025173,171.428571,0.134160,blues
0.069156,0.030117,3.127242,0.139257,0.169053,0.550345,0.010756,0.108671,-25.221148,2.352421,0.416177,0.023995,-0.142731,-0.108609,-0.016855,-0.511021,-0.359823,-0.258996,-0.022590,0.026844,-0.132432,0.011561,0.001756,0.033489,0.101360,0.022182,0.015529,0.031072,0.003178,0.007397,0.013886,0.013573,0.002225,0.038552,0.028955,0.024590,0.165751,0.028295,0.022756,0.298995,0.007410,0.056412,1.672504,0.670160,0.450038,0.347758,0.276412,0.278358,0.283589,0.250453,0.274019,0.274359,0.265374,0.236869,0.250762,0.013949,0.003007,0.027657,0.059407,0.019538,0.019734,0.028851,0.005163,0.009511,0.015610,0.011583,0.003146,0.015368,171.428571,0.118221,blues
0.051456,0.028534,3.094410,0.131672,0.182811,0.358821,0.013620,0.072190,-25.626893,2.748044,0.353732,0.009796,-0.179208,-0.134190,0.135257,-0.205781,-0.114226,-0.252591,-0.148267,-0.007233,-0.194510,0.022157,0.004910,0.048707,0.101967,0.016146,0.008531,0.042314,0.002421,0.004682,0.009316,0.011659,0.004571,0.042124,0.023132,0.027952,0.199818,0.025877,0.024596,0.270186,0.009394,0.046208,1.443228,0.649494,0.410424,0.369299,0.304714,0.323338,0.249121,0.304297,0.307393,0.303772,0.276949,0.278615,0.231240,0.024948,0.006799,0.037931,0.070558,0.015733,0.011137,0.039113,0.006313,0.006884,0.010267,0.009967,0.006673,0.016266,200.000000,0.117711,blues
0.045116,0.011048,3.019685,0.123065,0.179502,0.350401,0.017638,0.068052,-28.109786,2.467557,0.225193,0.014967,-0.217664,0.207211,0.245062,-0.225828,-0.062007,-0.215582,-0.106917,-0.040425,-0.023853,0.005814,0.004551,0.094240,0.037577,0.010659,0.016795,0.117921,0.003390,0.005321,0.005090,0.014625,0.001598,0.051695,0.024569,0.012349,0.223525,0.026497,0.027008,0.257060,0.012143,0.045573,2.049581,0.585957,0.484130,0.369141,0.352631,0.281360,0.283340,0.343608,0.285873,0.297456,0.312873,0.311034,0.257840,0.008540,0.007810,0.068440,0.040608,0.014905,0.022567,0.079416,0.006289,0.007965,0.006788,0.014733,0.002625,0.019164,171.428571,0.100367,blues
0.063819,0.011910,3.107876,0.142427,0.179869,0.514351,0.012723,0.086201,-26.703723,2.251647,0.154211,0.162553,-0.100405,-0.097000,0.112588,-0.496867,-0.206751,-0.135188,-0.006242,0.036311,-0.096029,0.011219,0.002301,0.047113,0.065396,0.015931,0.014846,0.052453,0.004329,0.014829,0.011039,0.013296,0.001873,0.035762,0.028466,0.013238,0.172327,0.028832,0.024608,0.305513,0.007411,0.049002,1.746459,0.667410,0.591979,0.383037,0.320706,0.301619,0.286481,0.290443,0.291179,0.268859,0.343636,0.291577,0.252252,0.015344,0.004012,0.039680,0.056811,0.016880,0.021364,0.048740,0.007349,0.018210,0.013320,0.011313,0.003007,0.014110,109.090909,0.083616,blues
0.061465,0.018802,3.094397,0.143427,0.183501,0.528780,0.013028,0.090732,-26.103639,2.183219,0.027238,0.194648,-0.142595,0.113793,0.160091,-0.356172,-0.006975,-0.131298,-0.086480,-0.061303,-0.272768,0.020664,0.006827,0.093800,0.012994,0.013179,0.005881,0.059946,0.005081,0.009547,0.008683,0.018687,0.004611,0.038330,0.027178,0.017951,0.190646,0.026094,0.026967,0.332458,0.006856,0.054473,1.766391,0.754915,0.563741,0.424700,0.340382,0.313202,0.269308,0.318164,0.291025,0.314100,0.313977,0.267833,0.276614,0.024347,0.010667,0.063384,0.018162,0.017105,0.006676,0.056784,0.009116,0.013659,0.012887,0.017923,0.007668,0.016539,200.000000,0.095982,blues
0.048362,0.020127,3.089172,0.121156,0.166336,0.418344,0.012842,0.083747,-25.714229,2.664379,0.656357,0.035808,-0.155513,0.038563,0.183084,-0.292841,-0.143657,-0.168216,-0.160365,-0.116028,-0.242878,0.029541,0.007080,0.097326,0.024884,0.020445,0.010512,0.054943,0.002677,0.007240,0.009021,0.022256,0.003534,0.039740,0.022584,0.020051,0.166511,0.031054,0.029285,0.295960,0.007558,0.056036,1.730389,0.632388,0.518911,0.363440,0.330488,0.301333,0.291089,0.320551,0.258999,0.286803,0.282257,0.279953,0.305169,0.028766,0.011585,0.061741,0.028420,0.019946,0.012522,0.050224,0.004905,0.010855,0.009519,0.019028,0.004804,0.015085,150.000000,0.104478,blues
0.056166,0.017421,3.111294,0.146701,0.198881,0.366239,0.013637,0.070346,-26.714785,2.615873,0.239223,-0.013599,-0.274053,-0.070799,0.196380,-0.066580,0.125128,-0.004414,-0.029512,0.031446,-0.102285,0.029032,0.011284,0.073447,0.028337,0.012383,0.009359,0.054303,0.001850,0.005284,0.016220,0.020534,0.007288,0.037268,0.023611,0.015677,0.179852,0.030042,0.028445,0.237055,0.010109,0.036728,1.730012,0.612429,0.425808,0.408845,0.319359,0.270884,0.270698,0.353697,0.286576,0.303645,0.270896,0.276493,0.241390,0.028592,0.013169,0.049848,0.031401,0.012774,0.011141,0.044622,0.003939,0.008064,0.017459,0.017736,0.007486,0.013208,200.000000,0.093525,blues
0.058824,0.018493,3.082486,0.127399,0.166183,0.446650,0.014772,0.086882,-25.986887,2.531806,0.127863,-0.052384,-0.220429,0.022932,0.103234,-0.344707,-0.208849,-0.253769,-0.078932,-0.079177,-0.216633,0.029393,0.012570,0.091490,0.014341,0.019215,0.011594,0.037116,0.006279,0.007015,0.004863,0.010847,0.003882,0.036417,0.023935,0.017261,0.235934,0.029031,0.026836,0.259929,0.009443,0.043414,1.547633,0.690039,0.432070,0.372950,0.318196,0.273080,0.277853,0.293782,0.333326,0.252925,0.314855,0.303406,0.269991,0.036031,0.018080,0.061763,0.015367,0.023174,0.013760,0.034270,0.009010,0.009693,0.006313,0.014209,0.006863,0.014320,240.000000,0.148429,blues
0.052747,0.010906,3.058392,0.137988,0.191145,0.334819,0.012766,0.067504,-26.563483,2.656982,0.117330,0.064819,-0.080113,-0.007945,-0.019121,-0.391377,-0.133912,-0.070633,0.130809,-0.018432,-0.240119,0.026133,0.003012,0.053546,0.032124,0.019168,0.012329,0.057251,0.007583,0.009983,0.011605,0.023397,0.008388,0.031281,0.019124,0.011545,0.209535,0.024424,0.025300,0.237377,0.007949,0.035970,1.533478,0.610619,0.447781,0.373606,0.324718,0.298576,0.287242,0.303501,0.312334,0.288804,0.278449,0.239381,0.226379,0.030406,0.005821,0.042463,0.035560,0.021777,0.015005,0.047093,0.013080,0.012367,0.013169,0.022449,0.015280,0.013528,133.333333,0.111351,blues
0.047958,0.021172,3.105116,0.123460,0.177053,0.393326,0.012480,0.076636,-26.242347,2.732948,0.398745,0.285259,-0.104285,0.119855,0.176022,-0.238726,0.100657,-0.033706,0.015983,0.042076,-0.118123,0.022217,0.006684,0.081647,0.029386,0.020130,0.008815,0.051217,0.001349,0.003257,0.012368,0.043263,0.003695,0.038632,0.026940,0.019283,0.161513,0.031562,0.029805,0.288937,0.009006,0.050509,1.781317,0.734076,0.428913,0.342875,0.333113,0.278578,0.273469,0.300093,0.278249,0.306646,0.275610,0.254627,0.254912,0.026241,0.007536,0.049682,0.029289,0.018080,0.010014,0.042552,0.003244,0.004834,0.013996,0.026333,0.005784,0.012628,240.000000,0.082536,blues
0.058648,0.016598,3.105287,0.126047,0.170024,0.457639,0.012466,0.092210,-26.271839,2.566992,0.190943,0.105761,-0.043484,0.101658,0.234701,-0.286352,0.051578,-0.052378,0.030554,0.103228,-0.043722,0.018129,0.007548,0.065703,0.012590,0.028291,0.011576,0.066308,0.005022,0.005516,0.011952,0.031345,0.003124,0.035247,0.029718,0.013918,0.164865,0.030615,0.027522,0.274471,0.008591,0.052660,1.700244,0.625889,0.421498,0.396851,0.304341,0.292413,0.303480,0.320374,0.280609,0.276784,0.290429,0.281208,0.224857,0.023442,0.007970,0.043907,0.014751,0.025002,0.012289,0.047130,0.007922,0.006355,0.014068,0.018797,0.004215,0.012742,240.000000,0.130290,blues
0.052457,0.019921,3.102935,0.127231,0.167486,0.423390,0.010456,0.075327,-25.652592,2.611802,0.565517,-0.000341,-0.310112,-0.192566,-0.096382,-0.102469,0.074618,-0.063886,-0.175247,0.180338,-0.098939,0.013043,0.019873,0.074683,0.007823,0.030054,0.022865,0.029769,0.001793,0.024874,0.012110,0.011007,0.002175,0.031586,0.020719,0.015539,0.189081,0.024934,0.027520,0.254948,0.007004,0.039154,1.657763,0.654380,0.415378,0.296162,0.284040,0.319370,0.296532,0.295456,0.307419,0.279216,0.271702,0.293442,0.266500,0.013734,0.019900,0.047796,0.010879,0.028009,0.028568,0.026358,0.002650,0.020189,0.011264,0.011694,0.002662,0.010713,200.000000,0.123391,blues
0.047387,0.011698,3.104278,0.121998,0.167722,0.369254,0.017097,0.073611,-27.069247,2.741920,0.758661,0.033819,-0.079519,0.082175,0.034694,-0.120311,-0.215470,-0.134539,-0.167131,0.068612,-0.106363,0.009259,0.005387,0.069973,0.038679,0.045537,0.020044,0.046336,0.002451,0.011238,0.005994,0.007924,0.001465,0.037594,0.025074,0.010233,0.204009,0.030082,0.027565,0.271681,0.013535,0.050887,2.043423,0.639050,0.455637,0.400736,0.343177,0.313160,0.283266,0.273890,0.279725,0.289199,0.325028,0.352008,0.308491,0.013739,0.008341,0.051911,0.045290,0.037548,0.025390,0.046443,0.005167,0.015745,0.007613,0.009054,0.002673,0.013702,200.000000,0.105263,blues
0.051785,0.014992,3.103802,0.122162,0.167871,0.400517,0.013033,0.075235,-26.399575,2.679145,0.777249,-0.054196,-0.109590,0.057473,-0.051478,0.079602,-0.036570,-0.092778,-0.087548,0.207122,0.001967,0.006378,0.004269,0.045703,0.046113,0.049445,0.013257,0.059328,0.002334,0.007156,0.010006,0.013777,0.002039,0.032621,0.023380,0.014531,0.153491,0.025710,0.026883,0.264824,0.008794,0.041739,1.833106,0.691587,0.456251,0.395284,0.318237,0.291829,0.291564,0.284341,0.292227,0.282468,0.282467,0.276172,0.226796,0.008284,0.006998,0.033126,0.039385,0.037542,0.015963,0.044154,0.004456,0.009388,0.008625,0.011488,0.002734,0.011449,171.428571,0.110867,blues
0.052011,0.014269,3.108391,0.127464,0.172147,0.404514,0.016012,0.076062,-28.019619,2.518789,0.555245,0.040180,0.011235,0.078237,0.041776,0.027284,0.096415,0.143147,0.115444,0.247208,-0.012078,0.010521,0.003690,0.031225,0.012865,0.071382,0.012855,0.052926,0.001516,0.014234,0.005165,0.011252,0.004777,0.034236,0.022326,0.012210,0.197778,0.025788,0.026711,0.235949,0.012152,0.044334,2.240244,0.652590,0.476567,0.370782,0.298656,0.301475,0.305861,0.302825,0.286976,0.286335,0.320493,0.302868,0.248869,0.013598,0.005991,0.025636,0.017167,0.045512,0.014042,0.048165,0.002857,0.021121,0.007512,0.011574,0.006736,0.013099,200.000000,0.098737,blues
0.072457,0.024565,3.165444,0.143248,0.167094,0.651055,0.009264,0.115974,-25.032456,2.274348,0.639776,-0.086033,-0.084408,-0.082874,-0.099893,0.090014,-0.116649,0.081035,0.135271,0.240383,0.066525,0.007469,0.004528,0.013320,0.029307,0.054500,0.012806,0.032471,0.002344,0.010812,0.019199,0.010993,0.003557,0.026994,0.029828,0.018995,0.154658,0.026210,0.025043,0.325903,0.006185,0.058784,1.482526,0.590594,0.527705,0.354859,0.310352,0.318724,0.312078,0.308215,0.304241,0.301034,0.296729,0.288790,0.243043,0.008830,0.005606,0.012692,0.026471,0.035020,0.016342,0.025888,0.004098,0.013463,0.017234,0.009780,0.004943,0.009374,171.428571,0.074592,blues
0.048045,0.014655,3.099714,0.123726,0.167223,0.416781,0.015368,0.069950,-26.483327,2.571113,0.662438,0.281373,-0.202542,0.061534,-0.020911,-0.087310,-0.267455,-0.130030,-0.154484,0.054250,-0.186655,0.015190,0.005243,0.068251,0.037071,0.038915,0.020714,0.025924,0.002202,0.010532,0.009833,0.011967,0.001864,0.034223,0.019844,0.012613,0.228647,0.023701,0.028645,0.248056,0.010425,0.034246,1.839435,0.590138,0.442060,0.345953,0.311228,0.309061,0.276424,0.263703,0.270781,0.278458,0.304702,0.333177,0.308668,0.024667,0.008318,0.052809,0.040878,0.034793,0.026988,0.024353,0.003914,0.014514,0.012233,0.013942,0.003404,0.012637,200.000000,0.115178,blues
0.052987,0.026125,3.099510,0.156526,0.212935,0.273748,0.014734,0.070646,-26.120328,3.127402,0.340120,0.511622,-0.008880,0.141729,0.178647,0.295253,0.083645,-0.170038,-0.047199,-0.140768,-0.234138,0.026166,0.011938,0.037259,0.008369,0.022795,0.007604,0.056033,0.001561,0.001714,0.039010,0.026662,0.005386,0.036297,0.043271,0.021445,0.237288,0.053687,0.028253,0.301933,0.011417,0.081886,1.653610,0.546971,0.504214,0.375383,0.345434,0.312515,0.288199,0.266496,0.263488,0.297447,0.284920,0.278865,0.294482,0.032529,0.015134,0.046929,0.011383,0.023560,0.011609,0.044770,0.003021,0.002666,0.034594,0.025810,0.009260,0.011323,120.000000,0.094406,blues
